seed,timestep,top_displacement_mm,pebble_id,centroid_z_mm,height_bin,total_broken_bonds,event_count,step_new_broken_bonds,net_fx_N,net_fy_N,net_fz_N,net_force_N,sum_abs_subparticle_fz_N,max_subparticle_abs_fz_N,selection,selection_rank
seed02,55000,0.1349975,17,0.4974619754,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,18
seed02,55000,0.1349975,18,0.49509947040000013,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,19
seed02,55000,0.1349975,19,0.5038427299999998,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,20
seed02,55000,0.1349975,500,4.532027499999998,8,187,5,0,-3.915947319499997e-06,2.2146573034400014e-06,-2.1364315814999973e-05,2.1832850034382533e-05,3.6000454655000024e-05,1.5878e-06,top_z,1
seed02,55000,0.1349975,499,4.465238859999999,8,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,2
seed02,55000,0.1349975,498,4.3870729799999975,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,3
seed02,55000,0.1349975,497,4.341252299999997,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,4
seed02,55000,0.1349975,496,4.255422240000001,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,5
seed02,55000,0.1349975,495,4.233641840000001,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,6
seed02,55000,0.1349975,494,4.225518460000005,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,7
seed02,55000,0.1349975,493,4.1949881,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,8
seed02,55000,0.1349975,492,4.154746339999997,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,9
seed02,55000,0.1349975,491,4.054119860000002,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,10
seed02,55000,0.1349975,489,4.02473812,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,11
seed02,55000,0.1349975,490,4.024424439999998,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,12
seed02,55000,0.1349975,488,3.9995456599999986,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,13
seed02,55000,0.1349975,487,3.9741333400000016,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,14
seed02,55000,0.1349975,486,3.93153608,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,15
seed02,55000,0.1349975,485,3.930858899999998,7,13,2,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,16
seed02,55000,0.1349975,484,3.930715439999998,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,17
seed02,55000,0.1349975,482,3.9257776000000013,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,18
seed02,55000,0.1349975,480,3.9219824599999993,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,19
seed02,55000,0.1349975,483,3.9211442399999994,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,20
seed02,60000,0.1474975,459,3.6883163800000016,7,23,1,0,-0.0006510716029999996,-0.00039447104170000014,-0.0028635244054,0.0029629839107383447,0.003120220309400002,6.66279e-05,top_force,1
seed02,60000,0.1474975,500,4.5198101799999995,8,187,5,0,0.00018954998405000003,0.0005454589101699997,0.0018522183083000006,0.0019401462008670676,0.0026609349191000016,9.48897e-05,top_force,2
seed02,60000,0.1474975,1,0.5051561125999996,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,3
seed02,60000,0.1474975,2,0.5046421151999997,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,4
seed02,60000,0.1474975,3,0.5036658770000001,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,5
seed02,60000,0.1474975,4,0.5021453274000004,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,6
