mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
72,84,1,1.297435126247937e-06,1.297435126247937e-06,1.82252e-07
72,90,3,4.260514309082228e-06,1.5070162411828878e-06,2.03861e-07
74,82,1,1.075752547481757e-06,1.075752547481757e-06,1.53115e-07
74,93,2,9.703219816310646e-06,7.324153155532727e-06,5.83633e-07
74,100,1,3.5216770337396073e-06,3.5216770337396073e-06,3.57617e-07
75,78,6,0.0033815848958905076,0.000799734781958369,1.25151e-05
75,89,3,0.00025069575282448255,0.00013872472075073715,3.67946e-06
77,85,1,1.2323162348731756e-06,1.2323162348731756e-06,1.76849e-07
77,87,1,4.71425725528423e-06,4.71425725528423e-06,4.35304e-07
77,98,2,4.226671868500828e-06,2.613864604259685e-06,2.93132e-07
78,79,3,0.0013015557299221711,0.0006795386232827388,1.11971e-05
78,96,3,0.0026155981759089105,0.0013963987255638161,1.90431e-05
81,97,1,1.7650654837920318e-06,1.7650654837920318e-06,2.19916e-07
82,91,1,3.2295845153866153e-06,3.2295845153866153e-06,3.37289e-07
83,96,2,0.0002445718671291889,0.00018289887592726645,4.27562e-06
86,92,5,0.002363440724399054,0.0012468862383942009,1.82006e-05
87,93,2,5.102752167372435e-06,4.01778477599286e-06,3.8956e-07
87,95,1,1.1187858621510196e-06,1.1187858621510196e-06,1.67246e-07
93,95,2,2.1020197337438934e-06,1.7996432351696822e-06,2.20896e-07
93,98,1,2.1062562972176487e-06,2.1062562972176487e-06,2.53475e-07
95,100,1,5.547821728879184e-07,5.547821728879184e-07,9.66244e-08
97,98,2,3.3489965465394876e-06,2.6734100167950294e-06,2.91682e-07
