mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
60,93,2,8.033679099890094e-06,6.0755413561907385e-06,5.17465e-07
61,86,3,9.16549774714992e-05,4.3883417364421384e-05,1.73315e-06
63,89,2,2.7867895536519243e-06,2.013623079592812e-06,2.48034e-07
64,76,2,5.3166773500192874e-06,3.6662735163979518e-06,3.6655e-07
64,88,1,7.378116608362869e-07,7.378116608362869e-07,1.20633e-07
64,90,2,3.5068867026938077e-06,2.2808547912534895e-06,2.64402e-07
64,91,2,6.062603148413649e-06,3.5641577779890725e-06,3.6161e-07
65,93,1,1.5719354262834718e-06,1.5719354262834718e-06,2.08742e-07
66,67,1,7.671191665777945e-06,7.671191665777945e-06,6.04448e-07
66,79,1,2.1723564567439204e-06,2.1723564567439204e-06,2.59812e-07
66,83,4,1.4358319981081413e-05,6.3093178416736145e-06,5.29169e-07
68,72,3,6.6121603083117755e-06,2.6076928984489333e-06,2.93571e-07
68,91,2,1.0099515795014592e-05,5.495838829914957e-06,4.80451e-07
69,100,1,1.6257743858054228e-06,1.6257743858054228e-06,2.14441e-07
70,82,2,3.0034073054148027e-06,2.060536864378796e-06,2.49977e-07
71,85,3,2.7270733026861963e-06,1.3225812253026277e-06,1.85557e-07
72,84,1,1.2804302886725228e-06,1.2804302886725228e-06,1.82437e-07
72,90,3,4.335934255113233e-06,1.5155562728044775e-06,2.04963e-07
74,82,1,1.0765467225017453e-06,1.0765467225017453e-06,1.57228e-07
74,93,2,9.394422632710201e-06,7.028965062269125e-06,5.6803e-07
74,100,1,3.5092438136534484e-06,3.5092438136534484e-06,3.57912e-07
75,78,3,7.25315608484443e-05,3.963268794934302e-05,1.61017e-06
75,89,1,2.9588479294482164e-06,2.9588479294482164e-06,3.14621e-07
77,85,1,1.322720160381628e-06,1.322720160381628e-06,1.86647e-07
77,87,1,4.6869781103633295e-06,4.6869781103633295e-06,4.34009e-07
77,98,2,4.171396664636176e-06,2.5669175032205475e-06,2.89488e-07
78,96,1,3.0189202695170668e-05,3.0189202695170668e-05,1.34063e-06
81,97,1,1.7769153849176386e-06,1.7769153849176386e-06,2.25164e-07
82,91,1,3.272673981817315e-06,3.272673981817315e-06,3.42075e-07
83,96,2,6.13148107839093e-06,4.922266956680123e-06,4.4437e-07
86,92,2,7.681822893395072e-05,7.398786396764337e-05,2.6225e-06
87,93,2,5.043130920206813e-06,3.983717539221374e-06,3.8886e-07
87,95,1,1.0911389584273856e-06,1.0911389584273856e-06,1.64089e-07
92,97,1,1.9352907860577437e-06,1.9352907860577437e-06,2.41751e-07
93,95,2,2.108710666064943e-06,1.8374742836491618e-06,2.29055e-07
93,98,1,2.129641974707486e-06,2.129641974707486e-06,2.56073e-07
95,100,1,5.0723491732849e-07,5.0723491732849e-07,9.31028e-08
97,98,2,3.331640840925516e-06,2.7367792903520737e-06,3.012e-07
