pebble_id,proxy_atom_id,x,y,z,radius,source_timestep
196,60,0.00500024,0.00390287,0.00153175,0.0005,350000
197,302,0.00478304,-0.00172329,0.00153515,0.0005,350000
198,118,0.00497156,-0.00273748,0.00157742,0.0005,350000
199,571,0.00400432,-0.00500045,0.00159536,0.0005,350000
200,459,0.00500035,0.00175387,0.00161642,0.0005,350000
201,351,0.000946399,-0.000763715,0.00163184,0.0005,350000
202,543,-5.61158e-05,0.00347472,0.00164494,0.0005,350000
203,245,-0.000207713,0.0045263,0.00164962,0.0005,350000
204,565,-0.00500022,0.00311423,0.00167395,0.0005,350000
205,570,0.000408287,-0.00232568,0.00168918,0.0005,350000
206,388,-0.00218209,0.00500033,0.00170602,0.0005,350000
207,137,-0.00418012,-0.00134078,0.00173928,0.0005,350000
208,250,0.00245499,0.0011219,0.00174478,0.0005,350000
209,138,0.00406098,-0.00311173,0.00175278,0.0005,350000
210,375,0.00191203,-0.000538471,0.00176071,0.0005,350000
211,186,-0.00270726,-0.000389435,0.00176573,0.0005,350000
212,155,-0.00341103,-0.00259741,0.00176876,0.0005,350000
213,407,0.00307508,-0.00402816,0.00178548,0.0005,350000
214,272,0.00164012,-0.00333667,0.00178939,0.0005,350000
215,145,0.00108286,0.00209623,0.00179411,0.0005,350000
216,94,0.00423033,0.00447969,0.00180439,0.0005,350000
217,458,0.00205918,0.00231055,0.00181778,0.0005,350000
218,50,0.00500041,-0.000791812,0.00182663,0.0005,350000
219,632,-0.00413282,0.00499043,0.00185209,0.0005,350000
220,83,-0.00404599,-0.000359326,0.00187248,0.0005,350000
221,232,-0.00320699,-0.00152774,0.00187287,0.0005,350000
222,403,-0.000246851,9.4119e-05,0.00187766,0.0005,350000
223,506,0.0025509,-0.00500007,0.00189075,0.0005,350000
224,101,-0.00499534,-0.00330288,0.00190659,0.0005,350000
225,361,0.00210624,0.00413437,0.00191056,0.0005,350000
226,24,0.00281723,-0.00125291,0.00192019,0.0005,350000
227,139,0.00228096,-0.00209681,0.0019268,0.0005,350000
228,204,0.0041799,-0.000199685,0.0019362,0.0005,350000
229,244,-0.00133945,-0.00322862,0.00193838,0.0005,350000
230,440,-0.0050002,-6.82597e-05,0.00193878,0.0005,350000
231,74,0.00402722,0.00158614,0.00194313,0.0005,350000
232,345,-0.00192749,0.000384364,0.00196147,0.0005,350000
233,298,0.00139895,-0.00466782,0.00196548,0.0005,350000
234,598,-0.00144818,0.00276254,0.00198458,0.0005,350000
235,608,-0.00379343,0.00062622,0.00198775,0.0005,350000
236,127,0.00385296,-0.00124357,0.00199107,0.0005,350000
237,126,-0.00104696,0.00406559,0.00199483,0.0005,350000
238,223,0.00310485,0.00423208,0.00200293,0.0005,350000
239,633,-0.00036837,-0.00300027,0.00200752,0.0005,350000
240,93,-0.00391814,-0.00409341,0.0020273,0.0005,350000
241,133,-0.00284493,-0.00500006,0.00203144,0.0005,350000
242,156,0.00170392,0.000535636,0.00204771,0.0005,350000
243,208,0.00134258,-0.00177493,0.0020501,0.0005,350000
244,30,-0.00311315,0.00350195,0.00207253,0.0005,350000
245,228,-0.000357552,0.00184971,0.00207387,0.0005,350000
246,136,-0.00311425,-0.00350086,0.00207689,0.0005,350000
247,225,0.000497638,0.000857038,0.00209159,0.0005,350000
248,546,-0.00240786,0.00179406,0.00210036,0.0005,350000
249,277,-0.00457624,0.00412994,0.0021028,0.0005,350000
250,339,-0.00192855,-0.000918352,0.00210282,0.0005,350000
251,64,0.00343952,0.000446664,0.00211835,0.0005,350000
252,160,0.00298477,-0.00298576,0.00212312,0.0005,350000
253,677,-0.00100192,-0.00500022,0.00212505,0.0005,350000
254,296,-0.00228337,-0.00185254,0.00212522,0.0005,350000
255,542,0.000291269,0.00267176,0.00212892,0.0005,350000
256,111,-0.0011497,-0.000253915,0.00213184,0.0005,350000
257,365,0.0050004,0.00089946,0.00213903,0.0005,350000
258,12,-0.00157185,-0.00417906,0.0021426,0.0005,350000
259,330,-0.00231329,-0.00289935,0.00215257,0.0005,350000
260,97,0.00132548,0.00344066,0.0021542,0.0005,350000
261,260,0.00409208,-0.0021994,0.00216024,0.0005,350000
262,467,0.00451,0.0024343,0.00216042,0.0005,350000
263,510,0.00073177,-0.00313936,0.00217092,0.0005,350000
264,131,-0.00436579,0.00142758,0.00217218,0.0005,350000
265,533,-2.57085e-06,-0.00500007,0.00217663,0.0005,350000
266,147,0.000421624,-0.00140981,0.00218588,0.0005,350000
267,344,-0.00337433,0.00155447,0.00219035,0.0005,350000
268,385,-0.00139946,0.00178678,0.00219668,0.0005,350000
269,390,-0.00494724,-0.00427657,0.00220264,0.0005,350000
270,504,-0.00454897,0.00240911,0.00222027,0.0005,350000
271,110,0.00249839,0.00500021,0.0022204,0.0005,350000
272,161,0.000379478,-0.00407317,0.00222707,0.0005,350000
273,581,0.00498487,-0.00349702,0.00222758,0.0005,350000
274,273,0.00426076,0.00339808,0.00225292,0.0005,350000
275,405,0.000511805,0.00400999,0.00226967,0.0005,350000
276,187,-0.00139598,-0.00228836,0.00227319,0.0005,350000
277,117,-0.00334444,0.00255041,0.00227475,0.0005,350000
278,181,-0.000348598,-0.00203971,0.00228474,0.0005,350000
279,493,-0.00407346,-0.00313281,0.00229256,0.0005,350000
280,558,0.00346422,0.00233492,0.00229381,0.0005,350000
281,663,-0.00426316,-0.00500001,0.00229567,0.0005,350000
282,316,0.0017127,0.00150401,0.00229653,0.0005,350000
283,119,0.00222244,-0.00412622,0.002298,0.0005,350000
284,323,-0.00188062,0.00360663,0.00230137,0.0005,350000
285,194,0.000917127,-2.50774e-05,0.00230482,0.0005,350000
286,177,0.000379241,0.00500023,0.00230593,0.0005,350000
287,617,0.00426959,-0.00419232,0.00230608,0.0005,350000
288,635,-0.0050001,-0.00135509,0.00231634,0.0005,350000
289,253,-0.00279202,0.000727514,0.00232827,0.0005,350000
290,164,-0.00109532,0.00500017,0.00234655,0.0005,350000
291,340,-0.00405539,0.0033128,0.00234955,0.0005,350000
292,52,0.0025476,5.90664e-05,0.00235014,0.0005,350000
293,453,-0.00500023,-0.00240861,0.00235384,0.0005,350000
294,146,-0.00499953,0.00500022,0.00235444,0.0005,350000
295,54,-0.00404665,-0.00210838,0.0023655,0.0005,350000
296,474,-0.0010675,-0.0013494,0.00237216,0.0005,350000
297,517,0.0032656,0.00331099,0.00238093,0.0005,350000
298,81,-0.00060772,-0.0040735,0.00238527,0.0005,350000
299,579,0.0036117,0.0050005,0.00239239,0.0005,350000
300,191,-0.000610746,0.00312023,0.00239709,0.0005,350000
301,540,0.00341115,-0.00500012,0.00240026,0.0005,350000
302,67,0.00316119,0.00138653,0.00240131,0.0005,350000
303,622,0.00482356,0.0050002,0.00241834,0.0005,350000
304,88,-0.000278831,-0.000737918,0.00243095,0.0005,350000
305,158,-0.00295676,0.00500026,0.00243557,0.0005,350000
306,102,-0.00234598,0.00273256,0.00243953,0.0005,350000
307,437,-0.00363273,0.00426386,0.00245877,0.0005,350000
308,35,0.0031625,-0.00200949,0.00247589,0.0005,350000
309,25,0.00500036,-3.87069e-05,0.00248435,0.0005,350000
310,380,0.00483114,-0.00500008,0.00248483,0.0005,350000
311,159,0.00164205,-0.00262214,0.00248855,0.0005,350000
312,670,0.00331867,-0.000561515,0.00248969,0.0005,350000
313,740,0.00499491,0.00402095,0.0025244,0.0005,350000
314,167,-0.0050004,0.000743325,0.0025302,0.0005,350000
315,303,-0.00249931,-0.00414482,0.00253132,0.0005,350000
316,304,-0.00331548,-0.000201941,0.00253648,0.0005,350000
