timestep,reference_step,intact_bonds,broken_bonds_from_reference,fragment_count,largest_fragment_fraction,second_fragment_fraction,single_particle_fragment_fraction,largest_span_x_over_d,largest_span_y_over_d,largest_span_z_over_d,second_centroid_r_over_R,broken_edges,broken_core_fraction,broken_surface_fraction,broken_span_x_over_d,broken_span_y_over_d,broken_span_z_over_d,failure_mode_draft
330000,5000,4806,129,13,0.49,0.488,0.8461538461538461,0.4454871837284078,0.8791104491901763,0.8228152736330884,0.3998519219621865,129.0,0.023255813953488372,0.627906976744186,0.4047791312124452,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
335000,5000,4797,138,14,0.49,0.486,0.8571428571428571,0.4455217495848282,0.8791742452339052,0.8222005117571559,0.40203603574298724,138.0,0.021739130434782608,0.6304347826086957,0.4253349897872568,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
340000,5000,4797,138,14,0.49,0.486,0.8571428571428571,0.44546914684695355,0.8792593066255436,0.821494888849246,0.4027910565651716,138.0,0.021739130434782608,0.6304347826086957,0.4253349897872568,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
345000,5000,4779,156,16,0.486,0.486,0.875,0.44788594397081405,0.8741391908129424,0.8188918169437647,0.3965981719306903,156.0,0.019230769230769232,0.6410256410256411,0.4253349897872568,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
350000,5000,4768,167,17,0.486,0.484,0.8823529411764706,0.44485400799439906,0.8790244211918147,0.8130167812803721,0.40353927610334644,167.0,0.017964071856287425,0.6347305389221557,0.4395972719875459,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
355000,5000,4768,167,17,0.486,0.484,0.8823529411764706,0.4449831466526138,0.879026354405261,0.8124551827742136,0.4050038013750084,167.0,0.017964071856287425,0.6347305389221557,0.4395972719875459,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
360000,5000,4757,178,19,0.486,0.48,0.8947368421052632,0.4453260117233874,0.879007988877521,0.8118056230562471,0.4068062562378921,178.0,0.016853932584269662,0.6292134831460674,0.45713925079953127,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
365000,5000,4746,189,20,0.484,0.48,0.9,0.44560759392791244,0.878920027665713,0.8060649457273745,0.408200435443329,189.0,0.015873015873015872,0.6243386243386243,0.48037840963784695,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
370000,5000,4746,189,20,0.484,0.48,0.9,0.445899006522812,0.8789412930136226,0.8055333120296342,0.4101388158802323,189.0,0.015873015873015872,0.6243386243386243,0.48037840963784695,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
375000,5000,4722,213,22,0.484,0.476,0.9090909090909091,0.4459066330498577,0.8790118553044136,0.804878919278052,0.41274140398388914,213.0,0.014084507042253521,0.6384976525821596,0.48037840963784695,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
380000,5000,4719,216,22,0.484,0.476,0.9090909090909091,0.44488754924769286,0.8791636125599505,0.803849483117882,0.4127086427241116,216.0,0.013888888888888888,0.6296296296296297,0.48037840963784695,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
385000,5000,4683,252,25,0.48,0.474,0.92,0.4444611500239034,0.8790292542254304,0.7948513411319458,0.4097986051973139,252.0,0.01984126984126984,0.6071428571428571,0.4878609122818617,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
390000,5000,4683,252,25,0.48,0.474,0.92,0.44456990294632664,0.8790282876187074,0.7944395666678777,0.40751540997436597,252.0,0.01984126984126984,0.6071428571428571,0.4878609122818617,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
395000,5000,4683,252,25,0.48,0.474,0.92,0.4441207498002739,0.8791036829431141,0.7938644356675949,0.40644693369661533,252.0,0.01984126984126984,0.6071428571428571,0.4878609122818617,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
400000,5000,4683,252,25,0.48,0.474,0.92,0.44355100279943915,0.8792061432557696,0.7932129427361821,0.4069404054018999,252.0,0.01984126984126984,0.6071428571428571,0.4878609122818617,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
405000,5000,4663,272,27,0.476,0.472,0.8888888888888888,0.4436635544862844,0.8792312750305719,0.791305827671379,0.4096200860904147,272.0,0.022058823529411766,0.5919117647058824,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
410000,5000,4630,305,30,0.472,0.47,0.9,0.4442220018545253,0.8790978833027753,0.7677757202093909,0.4092237825859533,305.0,0.019672131147540985,0.5868852459016394,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
415000,5000,4630,305,30,0.472,0.47,0.9,0.4437707511718833,0.8791375141784249,0.7669734366291646,0.40870417806952036,305.0,0.019672131147540985,0.5868852459016394,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
420000,5000,4630,305,30,0.472,0.47,0.9,0.44292022425010386,0.879202276828877,0.765681083440294,0.4082879861710732,305.0,0.019672131147540985,0.5868852459016394,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
425000,5000,4630,305,30,0.472,0.47,0.9,0.44194384513296836,0.8792467407381425,0.7646980444028358,0.4082165322206949,305.0,0.019672131147540985,0.5868852459016394,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
430000,5000,4613,322,32,0.472,0.466,0.90625,0.4417243480782722,0.8792332082440182,0.7646303819322143,0.4075395504141447,322.0,0.018633540372670808,0.5993788819875776,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
435000,5000,4613,322,32,0.472,0.466,0.90625,0.4422048289482227,0.8791810114809674,0.7643974297119318,0.4057661353866077,322.0,0.018633540372670808,0.5993788819875776,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
440000,5000,4613,322,32,0.472,0.466,0.90625,0.4430319233898193,0.8790795177750351,0.7641267798294458,0.405193830255163,322.0,0.018633540372670808,0.5993788819875776,0.5052197191198075,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
445000,5000,4586,349,34,0.468,0.466,0.9117647058823529,0.4434462709609843,0.8788861964304022,0.7474412145741838,0.40564106626153973,349.0,0.017191977077363897,0.6074498567335244,0.5331246886108372,0.5248249199823871,0.8775638784331136,minor_spall_or_early_damage
450000,5000,4542,393,37,0.466,0.462,0.918918918918919,0.44402245556259534,0.8783622955864471,0.749436290850795,0.40367941082082226,393.0,0.02544529262086514,0.5903307888040712,0.5331246886108372,0.5413843430602759,0.8775638784331136,minor_spall_or_early_damage
455000,5000,4542,393,37,0.466,0.462,0.918918918918919,0.44460412082432665,0.8783294309578596,0.7494391906709645,0.4046685848999236,393.0,0.02544529262086514,0.5903307888040712,0.5331246886108372,0.5413843430602759,0.8775638784331136,minor_spall_or_early_damage
460000,5000,4542,393,37,0.466,0.462,0.918918918918919,0.44454675271530686,0.8783506963057691,0.7488824251984219,0.40622457146993823,393.0,0.02544529262086514,0.5903307888040712,0.5331246886108372,0.5413843430602759,0.8775638784331136,minor_spall_or_early_damage
465000,5000,4542,393,37,0.466,0.462,0.918918918918919,0.44477761706506747,0.8783864607545263,0.7483488582872351,0.40780104389101923,393.0,0.02544529262086514,0.5903307888040712,0.5331246886108372,0.5413843430602759,0.8775638784331136,minor_spall_or_early_damage
470000,5000,4542,393,37,0.466,0.462,0.918918918918919,0.44493918537884425,0.8784086927091591,0.7477572949726586,0.4088588401272619,393.0,0.02544529262086514,0.5903307888040712,0.5331246886108372,0.5413843430602759,0.8775638784331136,minor_spall_or_early_damage
475000,5000,4535,400,38,0.464,0.462,0.9210526315789473,0.44579394603807126,0.8782511358132833,0.7407957933524294,0.40987013879603623,400.0,0.025,0.5975,0.5331246886108372,0.5413843430602759,0.8775638784331136,minor_spall_or_early_damage
480000,5000,4526,409,39,0.464,0.46,0.9230769230769231,0.4476448722540568,0.8782037720838481,0.7414028223745766,0.41043379660867924,409.0,0.02444987775061125,0.5990220048899756,0.5331246886108372,0.5763600407312525,0.8775638784331136,minor_spall_or_early_damage
485000,5000,4526,409,39,0.464,0.46,0.9230769230769231,0.4485492391703166,0.8782907666889331,0.7415922772923168,0.4112352291121487,409.0,0.02444987775061125,0.5990220048899756,0.5331246886108372,0.5763600407312525,0.8775638784331136,minor_spall_or_early_damage
490000,5000,4498,437,42,0.462,0.458,0.9523809523809523,0.44992726271306127,0.8783661620133398,0.7420485156656503,0.41452410568215203,437.0,0.043478260869565216,0.562929061784897,0.5331246886108372,0.5763600407312525,0.8775638784331136,minor_spall_or_early_damage
