pebble_id,intact_internal_bonds,initial_internal_bonds,final_broken_internal_bonds,initial_x,initial_y,initial_z
233,5876,5876,0,0.00139895,-0.00466782,0.00196548
234,5876,5876,0,-0.00144818,0.00276254,0.00198458
235,5876,5876,0,-0.00379343,0.00062622,0.00198775
236,5876,5876,0,0.00385296,-0.00124357,0.00199107
237,5876,5876,0,-0.00104696,0.00406559,0.00199483
238,5876,5876,0,0.00310485,0.00423208,0.00200293
239,5876,5876,0,-0.00036837,-0.00300027,0.00200752
240,5876,5876,0,-0.00391814,-0.00409341,0.0020273
241,5876,5876,0,-0.00284493,-0.00500006,0.00203144
242,5876,5876,0,0.00170392,0.000535636,0.00204771
243,5876,5876,0,0.00134258,-0.00177493,0.0020501
244,5876,5876,0,-0.00311315,0.00350195,0.00207253
245,5876,5876,0,-0.000357552,0.00184971,0.00207387
246,5876,5876,0,-0.00311425,-0.00350086,0.00207689
247,5876,5876,0,0.000497638,0.000857038,0.00209159
248,5876,5876,0,-0.00240786,0.00179406,0.00210036
249,5876,5876,0,-0.00457624,0.00412994,0.0021028
250,5876,5876,0,-0.00192855,-0.000918352,0.00210282
251,5876,5876,0,0.00343952,0.000446664,0.00211835
252,5876,5876,0,0.00298477,-0.00298576,0.00212312
253,5876,5876,0,-0.00100192,-0.00500022,0.00212505
254,5876,5876,0,-0.00228337,-0.00185254,0.00212522
255,5876,5876,0,0.000291269,0.00267176,0.00212892
256,5876,5876,0,-0.0011497,-0.000253915,0.00213184
257,5876,5876,0,0.0050004,0.00089946,0.00213903
258,5876,5876,0,-0.00157185,-0.00417906,0.0021426
259,5876,5876,0,-0.00231329,-0.00289935,0.00215257
260,5876,5876,0,0.00132548,0.00344066,0.0021542
261,5876,5876,0,0.00409208,-0.0021994,0.00216024
262,5876,5876,0,0.00451,0.0024343,0.00216042
263,5876,5876,0,0.00073177,-0.00313936,0.00217092
264,5876,5876,0,-0.00436579,0.00142758,0.00217218
265,5876,5876,0,-2.57085e-06,-0.00500007,0.00217663
266,5876,5876,0,0.000421624,-0.00140981,0.00218588
267,5876,5876,0,-0.00337433,0.00155447,0.00219035
268,5876,5876,0,-0.00139946,0.00178678,0.00219668
269,5876,5876,0,-0.00494724,-0.00427657,0.00220264
270,5876,5876,0,-0.00454897,0.00240911,0.00222027
271,5876,5876,0,0.00249839,0.00500021,0.0022204
272,5876,5876,0,0.000379478,-0.00407317,0.00222707
273,5876,5876,0,0.00498487,-0.00349702,0.00222758
274,5876,5876,0,0.00426076,0.00339808,0.00225292
275,5876,5876,0,0.000511805,0.00400999,0.00226967
276,5876,5876,0,-0.00139598,-0.00228836,0.00227319
277,5876,5876,0,-0.00334444,0.00255041,0.00227475
278,5876,5876,0,-0.000348598,-0.00203971,0.00228474
279,5876,5876,0,-0.00407346,-0.00313281,0.00229256
280,5876,5876,0,0.00346422,0.00233492,0.00229381
281,5876,5876,0,-0.00426316,-0.00500001,0.00229567
282,5876,5876,0,0.0017127,0.00150401,0.00229653
283,5876,5876,0,0.00222244,-0.00412622,0.002298
284,5876,5876,0,-0.00188062,0.00360663,0.00230137
285,5876,5876,0,0.000917127,-2.50774e-05,0.00230482
286,5876,5876,0,0.000379241,0.00500023,0.00230593
287,5876,5876,0,0.00426959,-0.00419232,0.00230608
288,5876,5876,0,-0.0050001,-0.00135509,0.00231634
289,5876,5876,0,-0.00279202,0.000727514,0.00232827
290,5876,5876,0,-0.00109532,0.00500017,0.00234655
291,5876,5876,0,-0.00405539,0.0033128,0.00234955
292,5876,5876,0,0.0025476,5.90664e-05,0.00235014
293,5876,5876,0,-0.00500023,-0.00240861,0.00235384
294,5876,5876,0,-0.00499953,0.00500022,0.00235444
295,5876,5876,0,-0.00404665,-0.00210838,0.0023655
296,5876,5876,0,-0.0010675,-0.0013494,0.00237216
297,5876,5876,0,0.0032656,0.00331099,0.00238093
298,5876,5876,0,-0.00060772,-0.0040735,0.00238527
299,5876,5876,0,0.0036117,0.0050005,0.00239239
300,5876,5876,0,-0.000610746,0.00312023,0.00239709
301,5876,5876,0,0.00341115,-0.00500012,0.00240026
302,5876,5876,0,0.00316119,0.00138653,0.00240131
303,5876,5876,0,0.00482356,0.0050002,0.00241834
304,5876,5876,0,-0.000278831,-0.000737918,0.00243095
305,5876,5876,0,-0.00295676,0.00500026,0.00243557
306,5876,5876,0,-0.00234598,0.00273256,0.00243953
307,5876,5876,0,-0.00363273,0.00426386,0.00245877
308,5876,5876,0,0.0031625,-0.00200949,0.00247589
309,5876,5876,0,0.00500036,-3.87069e-05,0.00248435
310,5876,5876,0,0.00483114,-0.00500008,0.00248483
311,5876,5876,0,0.00164205,-0.00262214,0.00248855
312,5876,5876,0,0.00331867,-0.000561515,0.00248969
313,5876,5876,0,0.00499491,0.00402095,0.0025244
314,5876,5876,0,-0.0050004,0.000743325,0.0025302
315,5876,5876,0,-0.00249931,-0.00414482,0.00253132
316,5876,5876,0,-0.00331548,-0.000201941,0.00253648
317,5876,5876,0,-0.00198256,-0.00500052,0.00253695
318,5876,5876,0,0.000519422,0.00174877,0.00254352
319,5876,5876,0,0.00129614,-0.00386325,0.00256659
320,5876,5876,0,0.00500015,-0.00223442,0.00257712
321,5876,5876,0,-0.000365672,0.00098694,0.00257864
322,5876,5876,0,-0.000345858,0.0043886,0.00263008
323,5876,5876,0,0.00155662,0.0025945,0.00263373
324,5876,5876,0,-0.00298768,-0.00234289,0.00263775
325,5876,5876,0,0.0022258,-0.000892823,0.00264114
326,5876,5876,0,0.000698465,-0.00225701,0.00264363
327,5876,5876,0,0.00255522,0.00254743,0.00265288
328,5876,5876,0,-0.00413382,-0.000973431,0.00266811
329,5876,5876,0,0.00233125,0.00352182,0.00266814
330,5876,5876,0,-0.00232476,-0.000197428,0.00267099
331,5876,5876,0,-0.00500005,0.00331248,0.00267712
332,5876,5876,0,0.00500015,0.00173758,0.0026839
333,5876,5876,0,-0.00126673,0.000568134,0.00268872
334,5876,5876,0,0.00498175,-0.00124465,0.0027179
335,5876,5876,0,0.000835601,-0.00500005,0.00272184
336,5876,5876,0,0.00199522,-0.00500035,0.00272665
337,5876,5876,0,-0.00423726,0.000130679,0.00273396
338,5876,5876,0,-0.00341414,-0.00458206,0.00273924
339,5876,5876,0,0.00317846,-0.00374858,0.00273995
340,5876,5876,0,0.00399226,-0.00316771,0.00274847
