pebble_id,initial_x,initial_y,initial_z,initial_radius_xy,height_bin,event_count,total_new_broken_bonds,first_event_timestep,first_event_top_displacement_mm,first_event_force_N,last_event_top_displacement_mm
176,0.00220526,-0.0028383,0.00139021,0.0035943175371132697,1,0,0,,,,
177,-0.00321372,0.00021277,0.00139438,0.0032207557050015455,1,0,0,,,,
178,0.001365,-0.00135814,0.00139506,0.00192555686999891,1,0,0,,,,
179,-0.00372815,0.00408331,0.00139725,0.005529242532083395,1,0,0,,,,
180,0.00357678,-0.00500054,0.00140432,0.006148069246519594,1,0,0,,,,
181,-0.00149013,0.00126882,0.00143643,0.0019571386280230634,1,0,0,,,,
182,-0.00500035,0.00126293,0.00145398,0.0051573726166915645,1,0,0,,,,
183,0.000125129,0.00131477,0.00145658,0.001320710952305992,1,0,0,,,,
184,-0.000655356,-0.00390931,0.00145755,0.0039638612693730845,1,0,0,,,,
185,0.00500015,-0.00372216,0.00146041,0.0062334561110270114,1,0,0,,,,
186,0.00484116,0.00500004,0.00146951,0.006959686066713067,2,0,0,,,,
187,0.00112074,0.000562818,0.00146963,0.0012541221027970123,2,0,0,,,,
188,0.00500053,0.000463881,0.00147543,0.0050220001854899415,2,0,0,,,,
189,-0.00500004,-0.00478504,0.0014763,0.0069207664173269135,2,0,0,,,,
190,0.00498647,0.00231097,0.00147667,0.0054959499089602334,2,0,0,,,,
191,-0.00327206,0.00222215,0.00148253,0.00395529104695217,2,0,0,,,,
192,0.00481964,-0.0050001,0.00148323,0.006944777155503264,2,0,0,,,,
193,-0.00500052,-0.000128163,0.00149343,0.005002162135014118,2,0,0,,,,
194,-0.00500042,-0.0013173,0.00150445,0.005171023058003126,2,0,0,,,,
195,-0.00138812,9.35077e-05,0.00153404,0.0013912659071361197,2,0,0,,,,
196,0.00318569,-0.000244772,0.00158434,0.0031950796716332442,2,0,0,,,,
197,-0.00178057,-0.00315275,0.00159278,0.0036208095900502695,2,0,0,,,,
198,-0.00245909,-0.00130705,0.00161734,0.002784870433359513,2,0,0,,,,
199,-0.000805373,-0.0029387,0.00164474,0.0030470614301534847,2,0,0,,,,
200,0.00218149,-0.00187419,0.00165357,0.0028760192586629175,2,0,0,,,,
201,-0.00402505,0.00500051,0.00166173,0.0064191999316581495,2,0,0,,,,
202,0.000970956,0.00440135,0.00167357,0.004507176208718271,2,0,0,,,,
203,-0.00383363,-0.00447802,0.00168164,0.00589486065121984,2,0,0,,,,
204,-0.00339287,-0.00245457,0.0016906,0.004187658142900397,2,0,0,,,,
205,-0.00156284,-0.000874608,0.0017113,0.001790923789351183,2,0,0,,,,
206,0.00188583,-0.00056588,0.00171195,0.0019689019689410644,2,0,0,,,,
207,0.00193573,0.00414212,0.00171349,0.004572112064166844,2,0,0,,,,
208,0.00132872,0.00186998,0.00172579,0.0022939751608942937,2,0,0,,,,
209,-0.00232758,-0.000189623,0.00172677,0.002335291317700856,2,0,0,,,,
210,0.00387586,0.00500008,0.00173052,0.006326380540719946,2,0,0,,,,
211,-0.00433066,-0.00202427,0.00173122,0.004780406370644655,2,0,0,,,,
212,-0.000231503,-0.00212779,0.00175741,0.0021403466829252216,2,0,0,,,,
213,-0.00183514,0.00330493,0.00176802,0.0037802514631304625,2,0,0,,,,
214,0.00201179,-0.00374303,0.00176877,0.004249420264577275,2,0,0,,,,
215,-0.00303301,0.00499448,0.00178554,0.005843285046144848,2,0,0,,,,
216,0.00500026,0.00383225,0.00179167,0.006299900009531898,2,0,0,,,,
217,0.00250884,0.000699791,0.00179298,0.0026046085289887612,2,0,0,,,,
218,-0.00216706,-0.0040506,0.00180199,0.004593855614143744,2,0,0,,,,
219,0.000257861,0.000184917,0.00180445,0.00031731150658304214,2,0,0,,,,
220,0.00102672,-0.00405603,0.00181491,0.004183961438553181,2,0,0,,,,
221,0.00039647,0.00230598,0.00181758,0.0023398145698537735,2,0,0,,,,
222,0.00319163,-0.00174838,0.00183492,0.00363913927753528,2,0,0,,,,
223,-0.00410063,0.000125438,0.00184703,0.0041025481214416,2,0,0,,,,
224,0.00500034,0.00138719,0.00185855,0.005189190323325981,2,0,0,,,,
225,0.00386132,0.00318594,0.00186567,0.005005996986215633,2,0,0,,,,
226,-0.0034426,-0.00062593,0.0018881,0.003499040314843486,2,0,0,,,,
227,0.0050001,-0.00138939,0.00189853,0.005189547627886269,2,0,0,,,,
228,-0.00500018,0.00500027,0.00193125,0.007071386010203374,2,0,0,,,,
229,0.000583435,-0.00291707,0.00194966,0.0029748434890133294,2,0,0,,,,
230,0.00201619,-0.00475525,0.0019851,0.005165019329934788,2,0,0,,,,
231,-0.000374016,0.00311796,0.00198861,0.003140312489204856,2,0,0,,,,
232,-0.000288848,0.00494574,0.00199001,0.004954167671234392,2,0,0,,,,
233,0.00149249,-0.00250521,0.00200944,0.0029160938846683245,2,0,0,,,,
234,-0.00404996,0.00336874,0.00201757,0.005267882419834368,2,0,0,,,,
235,-0.00244833,0.000798006,0.00201955,0.0025750987097460944,2,0,0,,,,
236,0.00291541,0.00196683,0.00202803,0.0035168218204793943,2,0,0,,,,
237,0.00403617,0.00159795,0.0020291,0.004340980588691915,2,0,0,,,,
238,8.80839e-05,-0.00478789,0.00203727,0.004788700181211934,2,0,0,,,,
239,-0.000906326,0.00399037,0.0020377,0.004092001900680888,2,0,0,,,,
240,-0.0019735,-0.00500033,0.0020466,0.005375686222139458,2,0,0,,,,
241,0.000128939,0.00403161,0.00207982,0.004033671337357693,2,0,0,,,,
242,0.00021847,-0.000946356,0.00208247,0.0009712460139614473,2,0,0,,,,
243,-0.00295433,-0.00481035,0.0020863,0.005645133556560021,2,0,0,,,,
244,-0.000527416,0.0020358,0.00208727,0.0021030095760732996,2,0,0,,,,
245,0.00148406,0.00327102,0.0020919,0.0035919362360710134,2,0,0,,,,
246,0.00500027,-0.00283802,0.00209479,0.005749526727766382,2,0,0,,,,
247,0.00381055,-0.00265722,0.00209798,0.004645547269256874,2,0,0,,,,
248,-0.000975761,-0.00500034,0.00211708,0.005094655007428962,2,0,0,,,,
249,-0.00304498,-0.00369933,0.00212518,0.004791340694346416,2,0,0,,,,
250,-0.00217171,0.00419284,0.00213627,0.004721888561762126,2,0,0,,,,
251,0.00428581,-0.00353574,0.00213733,0.00555604397964055,2,0,0,,,,
252,0.00105959,-0.00500049,0.00214121,0.005111519461784333,2,0,0,,,,
253,-0.00343936,0.000843178,0.00214325,0.0035412069057432945,2,0,0,,,,
254,0.0027757,0.00445454,0.00215642,0.005248565242197147,2,0,0,,,,
