timestep,reference_step,intact_bonds,broken_bonds_from_reference,fragment_count,largest_fragment_fraction,second_fragment_fraction,single_particle_fragment_fraction,largest_span_x_over_d,largest_span_y_over_d,largest_span_z_over_d,second_centroid_r_over_R,broken_edges,broken_core_fraction,broken_surface_fraction,broken_span_x_over_d,broken_span_y_over_d,broken_span_z_over_d,failure_mode_draft
85000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
90000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
95000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
100000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
105000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
110000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
115000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
120000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
125000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
130000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
135000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
140000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
145000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
150000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
155000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
160000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
165000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
170000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
175000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
180000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
185000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
190000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
