timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
15001,26,0.950635,68,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,27,0.499197,77,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,28,0.499585,75,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,29,0.499769,73,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,30,1.42087,48,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,31,0.498167,85,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,32,1.75639,39,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,33,0.495679,98,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,34,1.00432,66,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,35,1.02937,65,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,36,0.497212,93,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,37,0.497643,89,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,38,1.87836,32,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,39,1.72138,40,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,40,1.91003,29,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,41,1.333,54,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,42,0.49617,97,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,43,1.06089,63,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,44,0.879428,72,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,45,1.15409,61,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,46,1.40716,49,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,47,0.497951,87,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,48,1.71629,41,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,49,2.38093,16,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,50,1.7662,37,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,51,1.29787,58,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,52,1.87997,31,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,53,2.22062,18,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,54,1.34713,52,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,55,1.40678,50,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,56,2.1855,19,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,57,1.84749,35,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,58,1.82717,36,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,59,1.47105,46,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
