timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
80000,92,2.56737,11,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,93,1.89797,36,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,94,2.11078,26,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,95,2.82837,5,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,96,2.42114,14,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,97,2.86379,3,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,98,2.27691,16,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,99,2.70676,9,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
80000,100,2.37298,15,20000,4935,4935,0,0,3.5e-05,0.034999999999999996,0.11968985,-0.1536218,-0.036093575,-0.070025517
90000,1,0.495167,98,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,2,0.497921,78,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,3,0.497186,85,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,4,0.495532,97,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,5,0.497462,83,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,6,0.494001,100,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,7,1.46762,46,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,8,0.497731,80,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,9,2.19007,20,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,10,0.497189,84,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
