Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
8600,50000,1.1096315e-07,0,0.0047493205,-0.01750503,0.0014989405,-0.011256769,0,0,493500
8700,50000,1.0823337e-07,0,0.0045406588,-0.016962421,0.0010127715,-0.011408991,0,0,493500
8800,50000,1.0549324e-07,0,0.0043672866,-0.015965127,0.00090551126,-0.010692329,0,0,493500
8900,50000,1.0276693e-07,0,0.0041598371,-0.014979598,0.00084409961,-0.0099756616,0,0,493500
9000,50000,1.0006009e-07,0,0.0039968855,-0.014391944,0.0010273145,-0.0093677437,0,0,493500
9100,50000,9.7450023e-08,0,0.003816952,-0.013495742,0.00092478194,-0.0087540075,0,0,493500
9200,50000,9.4866539e-08,0,0.0036560006,-0.012657524,0.00094752606,-0.0080539977,0,0,493500
9300,50000,9.2344811e-08,0,0.0034960682,-0.011860897,0.0010040907,-0.0073607384,0,0,493500
9400,50000,8.9908862e-08,0,0.0033338977,-0.010509595,0.0010481499,-0.0061275475,0,0,493500
9500,50000,8.7531063e-08,0,0.0031815707,-0.0094345419,0.0010403515,-0.0052126197,0,0,493500
9600,50000,8.5246938e-08,0,0.0030273893,-0.0088361024,0.00081066648,-0.0049980465,0,0,493500
9700,50000,8.2992826e-08,0,0.0029003277,-0.0082707102,0.00076593748,-0.004604445,0,0,493500
9800,50000,8.0798556e-08,0,0.0027461702,-0.007732657,0.00063166709,-0.0043548197,0,0,493500
9900,50000,7.8746963e-08,0,0.0026088814,-0.0072679619,0.00048795594,-0.0041711246,0,0,493500
10000,50000,7.6696101e-08,0,0.0024587907,-0.0064341464,0.00024629572,-0.0037290599,0,0,493500
10001,50000,7.667654e-08,0,0.0024571094,-0.0064252223,0.00026434357,-0.0037037693,0,0,493500
10001,50000,7.667654e-08,0,0.004914191,-0.012850401,0.00047766132,-0.007458549,0,0,0
10100,50000,7.4754115e-08,0,0.0093357473,-0.0058416857,2.343839e-05,0.0035175,0,0,493500
10200,50000,7.2937555e-08,0,0.017542664,-0.0056814501,1.3483767e-05,0.011874697,0,0,493500
10300,50000,7.1296745e-08,0,0.026714719,-0.0054672266,1.3141023e-05,0.021260633,0,0,493500
10400,50000,7.0045589e-08,0,0.036168971,-0.0054247353,-1.5101809e-05,0.030729134,0,0,493500
10500,50000,6.9415175e-08,0,0.045050078,-0.00532601,-0.00015613051,0.039567938,0,0,493500
10600,50000,6.9627988e-08,0,0.052603574,-0.0049376599,-0.00029512775,0.047370786,0,0,493500
10700,50000,7.0865681e-08,0,0.058129151,-0.0046147988,-0.00036362842,0.053150724,0,0,493500
