timestep,pebble_id,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
20000,3,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,4,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,5,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,6,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,7,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,8,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,9,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,10,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,11,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,12,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
22000,1,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,2,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,3,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,4,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,5,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,6,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,7,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,8,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,9,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,10,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,11,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
22000,12,2000,5876,5876,0,0,5.24975e-05,0.052497499999999996,0,-0.54177313
24000,1,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,2,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,3,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,4,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,5,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,6,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,7,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,8,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,9,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,10,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,11,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
24000,12,2000,5876,5876,0,0,5.74975e-05,0.0574975,0,-0.46923243
26000,1,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,2,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,3,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,4,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,5,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,6,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,7,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,8,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
26000,9,2000,5876,5876,0,0,6.24975e-05,0.062497500000000004,0,-0.40878376
