case_label,case_id,final_displacement_um,final_top_force_N,peak_top_force_N,peak_force_displacement_um,mother_pebble_count,initial_internal_bonds,secant_stiffness_0_20um_N_per_m,secant_stiffness_20_40um_N_per_m,secant_stiffness_40_60um_N_per_m,minimum_intact_bonds,broken_bonds_at_endpoint,first_thermo_break_disp_um,event_rows,first_event_disp_um,last_event_disp_um,damaged_mother_pebbles,event_localized_broken_bonds,event_sequence,max_inter_mother_edges,final_inter_mother_edges,max_top_reachable_mothers,final_top_reachable_mothers,max_bottom_reachable_from_top,final_bottom_reachable_from_top,final_inter_pebble_force_sum_N,final_spanning_force_graph,display_case,color,marker,case_kind,broken_bond_fraction,damaged_fraction,network_reorganization_fraction,force_relaxation_fraction,load_path_reach_fraction,bottom_reach_fraction,force_path_intensity_norm,broken_bond_fraction_x1e5,damage_localization_index_bonds_per_damaged_mother,endpoint_damage_state,posthoc_mechanism_index,tail_inter_parent_force_sum_N,tail_F95_edge_force_N,tail_F99_edge_force_N,tail_top5_force_share,tail_top1_force_share,source_panel,event_index,event_timestep,event_displacement_um,pebble_id,rank_from_top,new_broken_bonds,cumulative_broken_bonds,event_top_force_N,previous_native_timestep,next_native_timestep,previous_inter_mother_edges,next_inter_mother_edges,delta_inter_mother_edges,previous_top_reachable_mothers,next_top_reachable_mothers,delta_top_reachable_mothers,previous_inter_pebble_force_sum_N,next_inter_pebble_force_sum_N,force_sum_ratio_next_to_previous,spanning_graph_before,spanning_graph_after,mechanism_note
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,2.0,80000.0,35.0,78.0,2.0,2.0,4.0,0.11968985,60000.0,90000.0,67.0,79.0,12.0,58.0,65.0,7.0,0.3893863486391413,1.042822003188048,2.6781164949222953,1.0,1.0,localized bond loss embedded in a spanning native force graph
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,3.0,130000.0,60.0,78.0,2.0,1.0,5.0,0.15779377,120000.0,130001.0,67.0,74.0,7.0,56.0,57.0,1.0,0.6745991323173595,0.8636818383292806,1.2802889849003969,1.0,1.0,localized bond loss embedded in a spanning native force graph
Delayed,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,1.0,70000.0,59.0,70.0,2.0,5.0,5.0,0.21878197,60000.0,70001.0,89.0,63.0,-26.0,71.0,54.0,-17.0,2.6712673826054334,1.0320753598831005,0.3863616823249123,1.0,1.0,localized bond loss embedded in a spanning native force graph
Delayed,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,2.0,70000.0,59.0,97.0,3.0,5.0,5.0,0.21878197,60000.0,70001.0,89.0,63.0,-26.0,71.0,54.0,-17.0,2.6712673826054334,1.0320753598831005,0.3863616823249123,1.0,1.0,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,1.0,30000.0,19.0,79.0,1.0,4.0,4.0,0.0,30000.0,30000.0,51.0,51.0,0.0,0.0,0.0,0.0,0.7976404948456381,0.7976404948456381,1.0,0.0,0.0,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,2.0,40000.0,29.0,79.0,1.0,1.0,5.0,0.10244716,30000.0,60000.0,51.0,85.0,34.0,0.0,68.0,68.0,0.7976404948456381,1.6088754838478856,2.0170433851396177,0.0,1.0,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,3.0,60000.0,49.0,51.0,55.0,4.0,4.0,0.3344475,30000.0,60000.0,51.0,85.0,34.0,0.0,68.0,68.0,0.7976404948456381,1.6088754838478856,2.0170433851396177,0.0,1.0,localized bond loss embedded in a spanning native force graph
Early,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,4.0,70000.0,59.0,51.0,55.0,1.0,5.0,0.087155013,60000.0,70001.0,85.0,57.0,-28.0,68.0,46.0,-22.0,1.6088754838478856,0.5754712409648477,0.3576853813376006,1.0,1.0,localized bond loss embedded in a spanning native force graph
Synchronous,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,1.0,50000.0,39.0,52.0,23.0,5.0,5.0,0.10928803,30000.0,60000.0,76.0,76.0,0.0,65.0,64.0,-1.0,0.567826545813004,0.2078738892608508,0.3660869517173077,1.0,1.0,localized bond loss embedded in a spanning native force graph
Synchronous,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,2.0,50000.0,39.0,84.0,2.0,5.0,5.0,0.10928803,30000.0,60000.0,76.0,76.0,0.0,65.0,64.0,-1.0,0.567826545813004,0.2078738892608508,0.3660869517173077,1.0,1.0,localized bond loss embedded in a spanning native force graph
