id,atom1,atom2,length_mm
170,6,151,0.19121095931676235
171,6,157,0.14361132469552368
172,6,161,0.2083755550016357
173,6,163,0.2166038265424382
174,6,171,0.16419246987150315
175,6,175,0.14432567973234703
176,6,181,0.22938676908349026
177,6,184,0.2452031834588012
178,6,191,0.11662482661477169
179,6,232,0.23772962092788374
180,6,233,0.17531073358777413
181,6,237,0.20372978683557577
182,7,12,0.20321088976308688
183,7,18,0.2399618295562091
184,7,21,0.2015845684230733
185,7,39,0.12028652586926995
186,7,54,0.2044802339379123
187,7,56,0.23188455443930797
188,7,66,0.23464285717214223
189,7,85,0.10979313895579589
190,7,89,0.237743498472748
191,7,99,0.12637992036805795
192,7,100,0.11693923685360473
193,7,101,0.11728479546735489
194,7,113,0.23127845440176797
195,7,121,0.22718927817726153
196,7,122,0.19356800263495677
197,7,125,0.18166204555458954
198,7,131,0.15103535799870302
199,7,142,0.24578359128408947
200,7,144,0.20635529995729454
201,7,161,0.2111079214128175
202,7,173,0.22817115368580612
203,7,176,0.23837720305069796
204,7,178,0.21180711927157744
205,7,185,0.21099347804541535
206,7,197,0.21343991042627752
207,7,213,0.17151981666075905
208,7,221,0.1775874945931422
209,7,225,0.11970340267275399
210,7,232,0.24278641484276686
211,7,234,0.21239889480486682
212,7,241,0.1783200206554583
213,8,21,0.23362127409154113
214,8,41,0.19300833990973262
215,8,48,0.12416578916619493
216,8,76,0.11657371274155531
217,8,86,0.16860528455997206
218,8,91,0.13209506772752141
219,8,95,0.2260400389131464
220,8,105,0.21797118480986655
221,8,124,0.2135614538588299
222,8,130,0.19205813630089436
223,8,157,0.2282247952529321
224,8,175,0.17151741614073557
225,8,178,0.14019767860742988
226,8,181,0.2007635844823874
227,8,205,0.16285781462255935
228,8,229,0.20819945933815923
229,9,24,0.18402199363390165
230,9,30,0.24731302391842414
231,9,51,0.22955314405350893
232,9,68,0.12171055498069254
233,9,79,0.17313512741684653
234,9,92,0.21072718801282322
235,9,93,0.22275608638586772
236,9,110,0.15599963352572024
237,9,111,0.22329230202329103
238,9,119,0.11899925239967303
239,9,128,0.1341199889804693
240,9,139,0.16479928012168507
241,9,143,0.22894714303937047
242,9,150,0.19837452348631135
243,9,152,0.22714814855917873
244,9,154,0.19164163416957505
245,9,156,0.11784726503493864
246,9,165,0.24727830742296616
247,9,168,0.21901172015231563
248,9,170,0.11653510341095528
249,9,201,0.12648067118726383
250,9,209,0.24761082001494059
251,9,210,0.12010560442692193
252,9,211,0.22980071513723166
253,9,214,0.23429247337846654
254,9,215,0.215600636191227
255,9,228,0.21199686075333737
256,9,231,0.2343338602191781
257,10,14,0.15799971839026586
258,10,20,0.17363049779136233
259,10,21,0.2358726469053949
260,10,30,0.23361818239366072
261,10,45,0.15783614199857404
262,10,53,0.24254680575480564
263,10,74,0.12763491067820948
264,10,89,0.19003040865517265
265,10,92,0.22426284887150102
266,10,99,0.19006068483042393
267,10,100,0.20060846112075462
268,10,120,0.17764031518995227
269,10,122,0.16375756300092328
270,10,148,0.22782238863684426
271,10,150,0.19851370033100055
272,10,176,0.1360267009256802
273,10,185,0.17496680377176704
274,10,198,0.20798676529636564
275,10,200,0.10996981983466823
276,10,206,0.12573583418481735
277,10,216,0.22021705401710964
278,10,217,0.2226035136371526
279,10,224,0.11019315467279761
280,10,240,0.2287474611520088
281,10,241,0.14980073545329148
282,11,19,0.13269939438510758
283,11,25,0.1978852136921595
284,11,40,0.221099172892249
285,11,46,0.13617425474947145
286,11,50,0.15771698196351114
287,11,62,0.24048727319570348
288,11,70,0.12662982639014178
289,11,71,0.21439552762982564
290,11,72,0.1338126182905207
291,11,81,0.22754131463724525
292,11,129,0.1900019012982338
293,11,136,0.17788953923737388
294,11,137,0.2231305180889554
295,11,141,0.21435568718201237
296,11,151,0.21821957154956081
297,11,155,0.2300417834820896
298,11,163,0.11583544892179791
299,11,171,0.19110090767446483
300,11,184,0.16052285384451104
301,11,191,0.15110931582852233
302,11,199,0.18811251746894372
303,11,209,0.2169824492328859
304,11,212,0.2423353146397425
305,11,233,0.2103033820877145
306,11,236,0.11062663597067234
307,11,250,0.2297319118371493
308,12,15,0.19126499013675627
309,12,16,0.18618131129404386
310,12,33,0.15554381515022211
311,12,39,0.15490062083602546
312,12,42,0.23571809442602612
313,12,49,0.20779919293454516
314,12,52,0.2099236250295241
315,12,54,0.22032119971562317
316,12,64,0.1305771374779323
317,12,75,0.15440140310909642
318,12,77,0.2289240389052072
319,12,81,0.2055491865201927
320,12,90,0.15970086898946234
321,12,95,0.23867838935914282
322,12,101,0.20783662937771202
323,12,112,0.23418715519027103
324,12,116,0.2102390468016456
325,12,125,0.12621120703990815
326,12,131,0.15493815135144215
327,12,144,0.12947013835365095
328,12,145,0.23514838757284026
329,12,161,0.16183805676458815
330,12,164,0.2392825089752234
