id,atom1,atom2,length_mm
1731,73,278,0.11691279266106615
1732,73,279,0.17814308816699856
1733,73,286,0.17080653599576387
1734,73,303,0.17159565085365625
1735,73,325,0.1848200300592869
1736,73,381,0.1584765657930143
1737,73,391,0.17049371007255398
1738,73,394,0.0743948600027317
1739,73,395,0.14434736896272843
1740,73,415,0.1377410410034768
1741,73,444,0.07669668921539237
1742,73,453,0.1009856623860939
1743,73,456,0.14375679909687583
1744,73,460,0.18004877619186027
1745,73,482,0.18786030022488975
1746,74,88,0.18814639585203136
1747,74,91,0.16960924779879205
1748,74,123,0.15861128123625906
1749,74,124,0.15948781708369256
1750,74,164,0.10292361057731182
1751,74,171,0.17514042087336815
1752,74,173,0.1205669636917957
1753,74,174,0.16076611237390878
1754,74,184,0.0955194710374769
1755,74,266,0.11150144268983413
1756,74,273,0.09993132195891259
1757,74,298,0.13910115908670084
1758,74,308,0.1451244751388248
1759,74,310,0.17713284744328658
1760,74,327,0.1830771224657606
1761,74,334,0.16621390492590646
1762,74,344,0.16829985364176525
1763,74,356,0.08779941702289862
1764,74,361,0.16746815697890524
1765,74,367,0.16277184929687719
1766,74,417,0.1365210336878822
1767,74,427,0.121090287577327
1768,74,435,0.10718890790362176
1769,74,471,0.18877543292694032
1770,74,493,0.15654787699800637
1771,75,86,0.18528037929432717
1772,75,91,0.17761321442739547
1773,75,105,0.14757010574145643
1774,75,106,0.09575145584415645
1775,75,117,0.11468317434473745
1776,75,123,0.083638786107663
1777,75,127,0.18650837291681072
1778,75,134,0.10556777340031824
1779,75,144,0.17726203994538756
1780,75,163,0.13256193019467583
1781,75,171,0.17733329963707264
1782,75,200,0.1623832367933967
1783,75,228,0.11435652829886411
1784,75,233,0.1593776548430043
1785,75,243,0.14961923489384804
1786,75,290,0.17959595639796444
1787,75,330,0.17289254981985763
1788,75,334,0.18781672575919567
1789,75,356,0.16578366680998016
1790,75,367,0.11888621716240759
1791,75,383,0.10359333752394144
1792,75,394,0.17614234320883548
1793,75,398,0.18833126108163875
1794,75,421,0.07314782762863041
1795,75,423,0.1741529110205893
1796,75,435,0.1667576888001923
1797,75,447,0.16068727214051978
1798,75,456,0.16078031057790684
1799,75,471,0.08318829779365346
1800,75,485,0.15574448863230678
1801,76,77,0.17433543510823973
1802,76,102,0.09722822159298784
1803,76,119,0.14515103494302886
1804,76,215,0.11131348877239829
1805,76,222,0.16174068328228702
1806,76,246,0.12170384466744366
1807,76,300,0.1279447369146147
1808,76,315,0.13718466461909748
1809,76,354,0.1446031253828019
1810,76,371,0.09773010634048672
1811,76,405,0.15519000209389427
1812,76,409,0.11550160689822503
1813,76,430,0.18117306292403962
1814,76,469,0.1771260852634863
1815,77,87,0.11967765669936237
1816,77,102,0.17295122166814295
1817,77,108,0.07506996099067702
1818,77,133,0.15648152834175852
1819,77,176,0.1576264061089138
1820,77,185,0.11062595482990212
1821,77,201,0.13049337824379106
1822,77,215,0.07751024175777738
1823,77,216,0.16654700055133193
1824,77,246,0.12134050224325336
1825,77,281,0.15684297073608144
1826,77,282,0.16622157097979934
1827,77,300,0.17831629141337968
1828,77,328,0.0710274541430519
1829,77,339,0.14331816859568183
1830,77,354,0.1423994115865357
1831,77,366,0.17801546611447205
1832,77,371,0.10282947853020587
1833,77,386,0.09827730978576515
1834,77,454,0.17181007939420942
1835,77,497,0.17511827071584116
1836,78,100,0.1851530434519654
1837,78,121,0.1542087352027195
1838,78,182,0.14572966776592894
1839,78,193,0.18447577014061256
1840,78,213,0.169509122403366
1841,78,230,0.10866795376677575
1842,78,237,0.12003052606583507
1843,78,252,0.12073227480676295
1844,78,263,0.1784085628381306
1845,78,280,0.15331449736141778
1846,78,302,0.14255772808883008
1847,78,304,0.1407093209068059
1848,78,306,0.1492016111642866
1849,78,318,0.16066418583355355
1850,78,340,0.14981918601580427
1851,78,358,0.10607736599370357
1852,78,363,0.14325605559999663
1853,78,389,0.1702042625619887
1854,78,399,0.07017447207194712
1855,78,410,0.17813961048133092
1856,78,420,0.16021729766348633
1857,78,424,0.0840365783609765
1858,78,430,0.16193972086318703
1859,78,446,0.09576677811574641
1860,78,469,0.1830557221955425
1861,79,97,0.16713864824074828
1862,79,116,0.159980775538039
1863,79,175,0.16618370007697617
1864,79,181,0.11843529523040107
1865,79,192,0.15039684161066116
1866,79,251,0.09632535889914359
1867,79,260,0.1331760531426621
1868,79,265,0.17011189235407848
1869,79,305,0.09523872260556872
1870,79,321,0.11645199762333686
1871,79,337,0.18895034410899708
1872,79,382,0.1814880177069163
1873,79,385,0.1280732397881059
1874,79,416,0.17514663856207197
1875,79,418,0.1652548505521118
1876,79,440,0.15435609642541748
1877,79,451,0.1802420282093959
1878,79,455,0.08414906038867641
1879,79,495,0.13267164330739756
1880,80,87,0.18405168527529864
1881,80,111,0.09322358256692045
1882,80,118,0.10770427506645677
1883,80,141,0.1411586146792206
1884,80,152,0.09255058830377053
1885,80,176,0.18008408937405912
1886,80,189,0.1534968554958894
1887,80,194,0.13198081382347793
1888,80,212,0.09741819338140888
1889,80,220,0.14408196710013796
1890,80,247,0.1493849449155613
1891,80,258,0.1357771845289997
1892,80,259,0.18690442193129084
1893,80,268,0.11566989547540574
1894,80,271,0.10897024533562703
1895,80,332,0.1287237651124821
1896,80,357,0.16299136942392392
1897,80,366,0.1481616444931562
1898,80,397,0.14379768164406773
1899,80,464,0.10523888132576052
1900,81,103,0.0735842217469105
1901,81,115,0.15649669357500176
1902,81,150,0.10530007379406647
1903,81,251,0.16339168056815784
1904,81,260,0.15586201482300044
1905,81,329,0.17475027932361833
1906,81,378,0.1897029769540357
1907,81,393,0.10287841362683794
1908,81,434,0.16693848867783623
1909,81,437,0.17247718349474897
1910,81,445,0.10385460096009043
1911,81,455,0.17802586333607467
1912,82,114,0.16498330263945718
1913,82,121,0.08861455090702848
1914,82,138,0.16838040472715443
1915,82,158,0.12395487737436219
1916,82,188,0.16685035747708135
1917,82,213,0.1639507028210413
1918,82,226,0.18301941059823235
1919,82,234,0.1026950195580792
1920,82,242,0.1522219024021055
1921,82,245,0.13058332886386437
1922,82,302,0.1747361477864509
1923,82,319,0.07089543048806894
1924,82,331,0.16316495094986067
1925,82,340,0.0981600153770835
1926,82,346,0.11689471434244406
1927,82,363,0.13203512000125492
1928,82,375,0.15907866363001716
1929,82,379,0.17515071777858135
1930,82,387,0.1196556606861871
1931,82,389,0.17651962243705832
1932,82,400,0.14912658647654115
1933,82,404,0.10626284922600716
1934,82,410,0.08150468169343862
1935,82,438,0.17265462589719882
1936,82,441,0.18613459747803585
1937,82,442,0.12041359343341625
1938,82,479,0.14271082457159145
1939,82,487,0.18172355632436285
1940,82,489,0.17946059006117032
1941,83,94,0.18600992795150414
1942,83,97,0.10969689044332578
1943,83,128,0.17061868603130753
1944,83,149,0.1824032172400747
1945,83,181,0.1638261420411797
1946,83,192,0.15614309795115933
1947,83,210,0.1003402436373736
1948,83,221,0.1417412067175989
1949,83,254,0.14751931973864624
1950,83,272,0.14676737136113963
1951,83,274,0.1552123382571378
1952,83,275,0.10054114858705203
1953,83,276,0.10858804380209586
1954,83,303,0.18328254579663553
1955,83,316,0.18548214328305349
1956,83,355,0.1762323231645471
1957,83,368,0.16978320881751316
1958,83,380,0.1481995192590742
1959,83,381,0.08880603289358065
1960,83,382,0.15152107003517945
1961,83,391,0.09269889958022871
1962,83,448,0.1615782381034411
1963,83,451,0.1868447237758236
1964,83,453,0.14818807798378553
1965,83,473,0.18265596856411986
1966,83,477,0.18919843043058157
1967,83,482,0.1322257122651469
1968,84,90,0.1820278090343217
1969,84,98,0.1388349750301671
1970,84,101,0.14140713368164576
1971,84,120,0.15112677319177134
1972,84,194,0.18866152196777883
1973,84,232,0.15317113315842887
1974,84,240,0.13170618317358304
1975,84,261,0.10534957222090026
1976,84,285,0.17593140332199816
1977,84,313,0.0978468496540774
1978,84,323,0.18169424819860866
1979,84,378,0.11569488894032526
1980,84,407,0.13146943495635355
1981,84,434,0.17642769220080196
1982,84,459,0.1473521656218188
1983,85,119,0.17276588633691636
1984,85,203,0.10228467014750645
1985,85,222,0.1788267534602942
1986,85,229,0.11094520244085128
1987,85,249,0.16655992697979558
1988,85,252,0.08709311664992601
1989,85,280,0.16360723422378837
1990,85,358,0.14170224787722024
1991,85,376,0.13648837926793125
1992,85,388,0.12804772307186107
1993,85,399,0.16228231862093134
1994,85,405,0.11390923095774538
1995,85,409,0.18244173011630083
1996,85,430,0.17650012431066192
1997,85,446,0.1592498937306546
1998,85,499,0.10224720418808973
1999,86,91,0.12499760222247723
2000,86,94,0.16854590988058146
2001,86,100,0.1551422059024593
2002,86,106,0.0963405520982111
2003,86,110,0.1691557568990237
2004,86,134,0.1779685733395164
2005,86,161,0.09830305628024177
2006,86,165,0.17574608757230703
2007,86,166,0.16798769839275654
2008,86,228,0.17312427206536893
2009,86,233,0.1125010364673954
2010,86,278,0.15175629430281018
2011,86,347,0.18603480751936263
2012,86,365,0.15687036592624287
2013,86,370,0.0906735071342553
2014,86,372,0.15939479054764322
2015,86,383,0.1766832741060442
2016,86,394,0.1322180906305436
2017,86,395,0.13155620819380467
2018,86,401,0.10255099677522041
2019,86,444,0.08919149390819002
2020,86,453,0.16875234748407106
2021,86,467,0.1871585182774348
2022,86,471,0.15602773080589213
2023,86,485,0.09419665474278138
2024,87,89,0.12540699019473772
2025,87,108,0.1715766921359121
2026,87,118,0.16169157892561858
2027,87,133,0.1161498390618431
2028,87,141,0.18974716998841482
2029,87,155,0.13664307282920155
2030,87,172,0.18310749539332832
2031,87,176,0.11533493223792758
2032,87,185,0.11478701461049658
2033,87,194,0.18241495685307285
2034,87,201,0.07791671604325803
2035,87,212,0.12184774586835158
2036,87,215,0.1718681524888897
2037,87,246,0.14983163576158604
2038,87,271,0.15252698477937904
2039,87,282,0.15678741350819406
2040,87,328,0.1075242899461089
