pebble_id,proxy_atom_id,x,y,z,radius,source_timestep
238,20,8.80839e-05,-0.00478789,0.00203727,0.0005,350000
239,373,-0.000906326,0.00399037,0.0020377,0.0005,350000
240,208,-0.0019735,-0.00500033,0.0020466,0.0005,350000
241,306,0.000128939,0.00403161,0.00207982,0.0005,350000
242,281,0.00021847,-0.000946356,0.00208247,0.0005,350000
243,358,-0.00295433,-0.00481035,0.0020863,0.0005,350000
244,392,-0.000527416,0.0020358,0.00208727,0.0005,350000
245,147,0.00148406,0.00327102,0.0020919,0.0005,350000
246,129,0.00500027,-0.00283802,0.00209479,0.0005,350000
247,575,0.00381055,-0.00265722,0.00209798,0.0005,350000
248,285,-0.000975761,-0.00500034,0.00211708,0.0005,350000
249,450,-0.00304498,-0.00369933,0.00212518,0.0005,350000
250,161,-0.00217171,0.00419284,0.00213627,0.0005,350000
251,143,0.00428581,-0.00353574,0.00213733,0.0005,350000
252,363,0.00105959,-0.00500049,0.00214121,0.0005,350000
253,411,-0.00343936,0.000843178,0.00214325,0.0005,350000
254,433,0.0027757,0.00445454,0.00215642,0.0005,350000
255,597,2.86139e-05,-0.00372125,0.002162,0.0005,350000
256,457,-0.000832226,0.00108708,0.00216681,0.0005,350000
257,130,-0.0047244,0.00190599,0.00216785,0.0005,350000
258,658,-0.00228145,0.00250487,0.00216829,0.0005,350000
259,336,-0.000796828,-0.000402705,0.0021696,0.0005,350000
260,139,0.00282157,-0.00278183,0.00217493,0.0005,350000
261,79,0.00378627,-0.00440049,0.00217533,0.0005,350000
262,126,-0.00500005,-0.00272253,0.00217872,0.0005,350000
263,501,0.00295686,0.0034716,0.00218193,0.0005,350000
264,262,0.00289863,-0.00394069,0.00218552,0.0005,350000
265,26,-0.00424707,-0.00113878,0.00218745,0.0005,350000
266,183,-0.00259361,-0.00211667,0.00218751,0.0005,350000
267,44,-0.00151887,-0.00224546,0.00218805,0.0005,350000
268,218,0.00413537,0.00413826,0.00218951,0.0005,350000
269,589,0.000802377,-0.00175072,0.00219147,0.0005,350000
270,278,0.00296278,-0.00500025,0.00219307,0.0005,350000
271,148,-0.00318833,0.00387742,0.00221322,0.0005,350000
272,430,-0.0028567,0.00168857,0.00221871,0.0005,350000
273,257,0.00171221,0.000275751,0.00222293,0.0005,350000
274,37,0.00500003,-0.00436029,0.00223022,0.0005,350000
275,264,0.00359666,-0.00088578,0.00223209,0.0005,350000
276,564,-0.00320718,0.00287669,0.00223523,0.0005,350000
277,224,0.00194165,0.00500008,0.00223725,0.0005,350000
278,91,0.00500012,0.00294391,0.00225048,0.0005,350000
279,72,0.00207688,0.00147294,0.00225688,0.0005,350000
280,547,0.0023014,0.00272079,0.00226073,0.0005,350000
281,341,0.00413023,-0.00172922,0.00228808,0.0005,350000
282,4,-0.00124168,0.00270187,0.0023005,0.0005,350000
283,458,-0.00186472,0.00159775,0.00230275,0.0005,350000
284,249,-0.00123789,0.00500034,0.00230474,0.0005,350000
285,76,0.00108374,-0.000497556,0.00230509,0.0005,350000
286,516,-0.00402036,-0.00358428,0.0023116,0.0005,350000
287,93,0.00260123,-0.000902324,0.00232374,0.0005,350000
288,444,0.00422478,-0.000114381,0.00233311,0.0005,350000
289,254,0.00115368,0.00109729,0.00233561,0.0005,350000
290,6,0.00169311,-0.00132068,0.00233879,0.0005,350000
291,247,-0.00132907,-0.00409348,0.00234558,0.0005,350000
292,387,-0.000945691,-0.00137408,0.00235418,0.0005,350000
293,242,-0.00458531,-0.00500003,0.00236037,0.0005,350000
294,588,-0.00435371,0.00437182,0.00236595,0.0005,350000
295,78,-0.00500022,0.00360929,0.00236681,0.0005,350000
296,710,-0.00500034,-0.00377198,0.00237265,0.0005,350000
297,71,0.000625856,0.00500024,0.00239588,0.0005,350000
